MsgID.LOCAL_VELOCITY,39.5490000,0.0000368,-0.0000253,0.0000205
MsgID.GLOBAL_POSITION,0.0000000,-122.3974516,37.7924800,0.0800000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,39.7990000,-0.0002309,-0.0555121,-0.1064242
MsgID.LOCAL_VELOCITY,39.7990000,-0.0000041,-0.0000041,0.0000127
MsgID.GLOBAL_POSITION,0.0000000,-122.3974506,37.7924799,0.1060000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,40.0490000,-0.0748094,-0.0005874,-0.1397882
MsgID.LOCAL_VELOCITY,40.0490000,-0.0000132,0.0000078,0.0000119
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924793,0.1390000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924787,0.1730000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,40.2990000,-0.1414698,0.0043448,-0.1737530
MsgID.LOCAL_VELOCITY,40.2990000,-0.0000002,-0.0000257,0.0000232
MsgID.GLOBAL_POSITION,0.0000000,-122.3974496,37.7924803,0.2030000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,40.5490000,0.0414447,0.0302664,-0.2039262
MsgID.LOCAL_VELOCITY,40.5490000,-0.0000075,-0.0000050,0.0000094
MsgID.GLOBAL_POSITION,0.0000000,-122.3974514,37.7924807,0.2250000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
